sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	maddog_lineage
AB083802	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Nova Aurora	1998	1998	1998	1394	17-Apr-2002	26-Jul-2016	Sus	12637081	BRpg28	NULL
AB110656	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1999	1999	1999	2066	18-Nov-2003	16-Jan-2009	Felis catus	15297743	BRct3	NULL
AB110657	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1999	1999	1999	2066	18-Nov-2003	10-Jan-2009	Homo sapiens	15297743	BRhm6	NULL
AB110658	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1987	1987	1987	2066	18-Nov-2003	16-Jan-2009	Canis lupus familiaris	15297743	BRdg10	NULL
AB110659	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1989	1989	1989	2066	18-Nov-2003	16-Jan-2009	Canis lupus familiaris	15297743	BRdg12	NULL
AB110660	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1999	1999	1999	2066	18-Nov-2003	16-Jan-2009	Equus caballus	15297743	BRhr18	NULL
AB110661	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	1998	1998	1998	2066	18-Nov-2003	16-Jan-2009	Sus scrofa domesticus	15297743	BRpg28	NULL
AB206407	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx1	NULL
AB206408	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx2	NULL
AB206409	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx3	NULL
AB206410	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx4	NULL
AB206411	AL_Cosmopolitan	Cosmopolitan	BRA	Brazil	-	2005	2005	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes vulpes	16599183	BR-Pfx5	Cosmopolitan AM3b_A1.2
AB206412	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx7	NULL
AB206413	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	06-Sep-2005	14-Jul-2016	Vulpes	16599183	BR-Pfx8	NULL
AB207884	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2005	1332	21-Sep-2005	14-Jul-2016	Vulpes	-	BR-Pfx6	NULL
AB247397	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Presidebte Dutra	2004	2004	2004	599	02-Jun-2006	14-Jul-2016	Bos taurus	16773238	BRbv644	NULL
AB247408	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçarves Dias	2003	2003	2003	599	02-Jun-2006	14-Jul-2016	Felis catus	16773238	BRct333	NULL
AB247409	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1998	1998	1998	599	02-Jun-2006	14-Jul-2016	Felis catus	16773238	BRct5	NULL
AB247410	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Anápolis	1999	1999	1999	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg15	NULL
AB247411	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg2	NULL
AB247412	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio De Janeiro	1985	1985	1985	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg317	NULL
AB247413	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Bacabal	-	-	2006	599	02-Jun-2006	14-Jul-2016	Canis familiaris	16773238	BRdg321	NULL
AB247414	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Miranda do Norte	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg322	NULL
AB247415	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Santa Inês	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg325	NULL
AB247416	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Coroatá 	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg331	NULL
AB247417	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Capinzal do Norte	-	-	2006	599	02-Jun-2006	14-Jul-2016	Canis familiaris	16773238	BRdg334	NULL
AB247418	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Barra do Corda	2003	2003	2003	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg335	NULL
AB247419	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2005	2005	2005	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg666	NULL
AB247420	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Moncão	2005	2005	2005	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	16773238	BRdg669	NULL
AB247430	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx239	NULL
AB247431	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx240	NULL
AB247432	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx241	NULL
AB247433	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx242	NULL
AB247434	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx245	NULL
AB247435	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx246	NULL
AB247436	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx247	NULL
AB247437	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Vulpes	-	BRfx248	NULL
AB247438	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Homo sapiens	-	BRhm23	NULL
AB247439	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Homo sapiens	-	BRhm327	NULL
AB247444	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Bos taurus	-	BRbv641	NULL
AB247445	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	-	BRdg657	NULL
AB247446	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	-	BRdg659	NULL
AB247447	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	02-Jun-2006	30-Jan-2009	Canis lupus familiaris	-	BRdg661	NULL
AB247448	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Homo sapiens	-	BRhm328	NULL
AB247449	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Canis lupus familiaris	-	BRdg665	NULL
AB247451	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	-	-	-	2006	599	02-Jun-2006	14-Jul-2016	Sus	-	BRpg667	NULL
AB263292	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg1	Cosmopolitan AM3a_A1.1.1
AB263293	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct4	NULL
AB263294	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg7	Cosmopolitan AM3a_B1.1
AB263295	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piracanjuba	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg8	Cosmopolitan AM3a_B1.1
AB263296	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Piracanjuba	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct9	NULL
AB263297	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Poços de Caldas	1987	1987	1987	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg11	NULL
AB263298	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São João da Boa Vista	1989	1989	1989	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg13	NULL
AB263299	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	São João da Boa Vista	1989	1989	1989	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct14	Cosmopolitan AM3a_A1.1
AB263300	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Caldas Novas	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg19	Cosmopolitan AM3a_B1.1
AB263301	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Caldas Novas	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct20	NULL
AB263302	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Cocalzinho de Goiás	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct21	NULL
AB263303	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goianira	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct22	NULL
AB263304	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg24	NULL
AB263305	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct25	NULL
AB263306	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Leopol do Bulhões	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct26	Cosmopolitan AM3a_B1
AB263307	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct27	NULL
AB263308	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Taquaral de Goiás	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg29	NULL
AB263309	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Andradina	1992	1992	1992	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg77	NULL
AB263310	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg96	NULL
AB263311	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg97	NULL
AB263312	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg98	NULL
AB263313	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Santa Tereza de Goiás	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg101	Cosmopolitan AM3a_B1
AB263314	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Ceres	2001	2001	2001	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg102	NULL
AB263315	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct112	Cosmopolitan AM3a_B1.1
AB263316	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct116	NULL
AB263317	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	1998	1998	1998	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg117	NULL
AB263318	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct120	NULL
AB263319	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg121	NULL
AB263320	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg125	NULL
AB263321	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg126	NULL
AB263322	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiânia	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg127	NULL
AB263323	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Goiás	2000	2000	2000	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg128	NULL
AB263324	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio de Janeiro	1985	1985	1985	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg317	NULL
AB263326	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Bacabal	-	-	2007	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg321	NULL
AB263327	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Miranda do Norte	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg322	NULL
AB263328	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Santa Inês	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg325	Cosmopolitan AM3a_A1.2.1
AB263329	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Coroatá 	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg331	NULL
AB263330	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçalves Dias	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Felis catus	17675798	BRct333	Cosmopolitan AM3a_D1
AB263331	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Capinzal do Norte	-	-	2007	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg334	NULL
AB263332	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Barra do Corda	2003	2003	2003	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg335	Cosmopolitan AM3a_D1
AB263334	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Turmalina	2002	2002	2002	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg603	NULL
AB263335	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Santa Rita	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg640	NULL
AB263336	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg642	NULL
AB263337	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Santa Rita	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg643	NULL
AB263338	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Codó	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg646	NULL
AB263339	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Lima Campos	2004	2004	2004	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg652	NULL
AB263340	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São Vicente Ferrer	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg657	NULL
AB263341	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Viana	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg659	Cosmopolitan AM3a_A1.2.1
AB263342	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Pindaré Mirim	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg661	NULL
AB263343	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg665	NULL
AB263344	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	São João Batista	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg666	NULL
AB263345	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Monção	2005	2005	2005	1332	03-Apr-2007	20-Jul-2016	Canis familiaris	17675798	BRdg669	NULL
AB276307	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm16	NULL
AB276308	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Canis lupus familiaris	-	BRdg101	NULL
AB276309	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Felis catus	-	BRct112	NULL
AB276310	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Felis catus	-	BRct116	NULL
AB276311	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm528	NULL
AB276312	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm529	NULL
AB276313	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm530	NULL
AB276314	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	-	-	-	2006	1575	06-Oct-2006	06-Oct-2006	Homo sapiens	-	BRhm531	NULL
AB291084	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	609	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct112	NULL
AB291085	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	609	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct116	NULL
AB291086	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçarves Dias	2003	2003	2003	609	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct333	NULL
AB291087	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Sta Tereza	2001	2001	2001	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg101	NULL
AB291088	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Rio de Janeiro	1985	1985	1985	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg317	NULL
AB291089	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Batta do Corda	2003	2003	2003	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg335	NULL
AB291090	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg96	NULL
AB291091	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaguaçu	2001	2001	2001	609	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg97	NULL
AB291103	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx1	NULL
AB291104	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2001	2001	2001	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx3	NULL
AB291105	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx4	NULL
AB291106	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx5	NULL
AB291107	AL_Cosmopolitan_AM3b	Cosmopolitan AM3b	BRA	Brazil	Patos	2002	2002	2002	609	01-Aug-2007	23-Dec-2008	Dusicyon sp.	18057829	BR-Pfx6	NULL
AB291114	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Morrinhos	1999	1999	1999	894	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct112	NULL
AB291115	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Itaberai	1999	1999	1999	894	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct116	NULL
AB291116	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Gonçarves Dias	2003	2003	2003	894	01-Aug-2007	05-Dec-2008	Felis catus	18057829	BRct333	NULL
AB291117	AL_Cosmopolitan_AM3a	Cosmopolitan AM3a	BRA	Brazil	Sta Tereza	2001	2001	2001	894	01-Aug-2007	05-Dec-2008	Canis familiaris	18057829	BRdg101	NULL
